Skeleton 016:LFTC X,Skeleton 016:LFTC Y,Skeleton 016:LFTC Z
-796.957458,957.826172,-1259.462402
-796.954041,957.805603,-1259.320801
-796.993774,957.830444,-1259.159302
-796.98291,957.845886,-1258.985962
-796.932007,957.803284,-1258.856567
-796.906677,957.819763,-1258.761841
-796.892212,957.880859,-1258.730225
-796.954224,957.886292,-1258.611572
-797.006714,957.846313,-1258.461182
-797.058228,957.827271,-1258.285645
-797.057495,957.757263,-1258.118408
-797.048584,957.68634,-1258.00293
-797.044495,957.682434,-1257.941406
-797.0578,957.787537,-1257.940918
-797.119385,957.910278,-1257.958374
-797.163391,957.958191,-1257.901001
-797.218384,957.923218,-1257.78833
-797.233215,957.760864,-1257.637939
-797.22583,957.533508,-1257.452637
-797.228027,957.409058,-1257.323486
-797.261902,957.455017,-1257.331299
-797.305298,957.661804,-1257.407349
-797.305847,957.847717,-1257.410278
-797.321472,957.893127,-1257.311401
-797.345947,957.796753,-1257.128296
-797.32959,957.654602,-1256.981812
-797.341492,957.625793,-1256.902344
-797.394653,957.752441,-1256.888062
-797.438293,957.783325,-1256.822998
-797.502502,957.769653,-1256.703125
-797.554382,957.784973,-1256.549438
-797.586548,957.828369,-1256.46875
-797.551636,957.876831,-1256.404785
-797.595825,957.876099,-1256.371704
-797.7101745,957.8164675,-1256.3367309999999
-797.824524,957.756836,-1256.301758
-797.8953245,957.7721865000001,-1256.2194825000001
-797.966125,957.787537,-1256.137207
-797.979797,957.7901,-1256.075439
-797.981689,957.751526,-1256.034546
-798.02533,957.741333,-1256.049438
-798.104492,957.828735,-1256.125854
-798.170959,957.909363,-1256.126099
-798.247131,957.94635,-1256.065552
-798.277039,957.900513,-1255.98645
-798.274536,957.771973,-1255.883911
-798.22113,957.643799,-1255.812012
-798.275208,957.63678,-1255.826172
-798.338501,957.796082,-1255.95752
-798.375671,957.907593,-1256.026978
-798.423645,957.95282,-1256.027222
-798.450134,957.931091,-1256.002686
-798.470642,957.825928,-1255.944946
-798.450684,957.711975,-1255.935669
-798.467163,957.742981,-1256.036133
-798.476013,957.889709,-1256.173462
-798.516479,957.911499,-1256.230591
-798.533203,957.864563,-1256.234619
-798.56543,957.801514,-1256.223389
-798.524475,957.750061,-1256.19812
-798.451538,957.705688,-1256.250488
-798.473022,957.660645,-1256.32605
-798.504822,957.501404,-1256.36438
-798.54895,957.405762,-1256.412598
-798.566467,957.437866,-1256.431274
